VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4RJXR63R,King,Seattle,WA,98106.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,34.0,269814345,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701.0
KNDC3DLC6N,Spokane,Spokane,WA,99203.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,3.0,209996223,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004100.0
7SAYGDEE5T,King,Bellevue,WA,98004.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,282071408,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002.0
WA1E2AFY8M,King,Seattle,WA,98117.0,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,36.0,169447162,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500.0
5UXKT0C30H,King,Seattle,WA,98133.0,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,46.0,166187031,POINT (-122.34477 47.75744),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001201.0
7SAYGDEE0N,Snohomish,Snohomish,WA,98296.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,218044837,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052108.0
7SAXCBE56R,Kittitas,Ellensburg,WA,98926.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,13.0,267131938,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975700.0
7SAYGDEF2S,King,Kent,WA,98030.0,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,274872979,POINT (-122.224 47.37943),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029702.0
1GYKPNRL4S,King,Bellevue,WA,98005.0,2025,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,284189307,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023702.0
7SAYGDEE1S,King,Kent,WA,98042.0,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,276376810,POINT (-122.1179 47.35896),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031704.0
5YJ3E1EA1M,King,Seatac,WA,98168.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,33.0,225728415,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300.0
KNDC4DLC0P,Snohomish,Lynnwood,WA,98036.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,227468839,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051931.0
7PDSGABAXP,King,Bellevue,WA,98004.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,257518530,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023901.0
1GKB0RDC6R,King,Bellevue,WA,98006.0,2024,GMC,HUMMER EV SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,269548492,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007.0
2C4RC1L76K,Spokane,Spokane,WA,99224.0,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,6.0,475722012,POINT (-117.46996 47.59431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013503.0
7SAYGDEE2T,King,Issaquah,WA,98029.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,5.0,283415884,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221.0
7PDSGABL1N,Snohomish,Marysville,WA,98271.0,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,38.0,224643926,POINT (-122.17138 48.10433),PUGET SOUND ENERGY INC,53061940001.0
JHMZC5F34J,San Juan,Friday Harbor,WA,98250.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,40.0,139095512,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960400.0
1N4BZ0CP6G,King,Seattle,WA,98102.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,43.0,348868110,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600.0
7SAYGDEE1P,Whatcom,Bellingham,WA,98226.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,42.0,230871595,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000202.0
1G1RC6S53J,Thurston,Olympia,WA,98506.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,22.0,196545842,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100.0
7SAYGDEE6P,Snohomish,Bothell,WA,98012.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,244741157,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052010.0
2C4RC1S73N,King,Maple Valley,WA,98038.0,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,5.0,225872643,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032003.0
5YJYGAEE0M,Pierce,Gig Harbor,WA,98332.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,150264145,POINT (-122.59044 47.34236),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072504.0
JTDACACU7S,King,Seattle,WA,98105.0,2025,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,43.0,284283366,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004302.0
5YJ3E1EAXP,Clark,Camas,WA,98607.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,234935627,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040608.0
7SAYGDEE5R,King,Seattle,WA,98118.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,271308663,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011801.0
JM3KKEHA4R,Snohomish,Everett,WA,98201.0,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,38.0,249883490,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040100.0
7SAYGDEEXP,King,Federal Way,WA,98023.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,30.0,228379840,POINT (-122.34059 47.32478),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030310.0
5YJ3E1EA9M,Snohomish,Mountlake Terrace,WA,98043.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,167435614,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051100.0
5YJ3E1ECXN,Snohomish,Lake Stevens,WA,98258.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,204893657,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505.0
5YJYGDEE1M,King,Seattle,WA,98109.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,36.0,177810678,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000.0
3C3CFFGE3H,King,Renton,WA,98055.0,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,11.0,284728265,POINT (-122.20784 47.46004),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806.0
3FMTK4SEXM,Pierce,Gig Harbor,WA,98332.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,249772407,POINT (-122.59044 47.34236),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072504.0
5YJYGDEE1M,King,Mercer Island,WA,98040.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,166134111,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024400.0
KM8JFDD20R,Spokane,Spokane,WA,99208.0,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,7.0,262653485,POINT (-117.45005 47.7333),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010507.0
5YJ3E1EB2R,Skagit,Burlington,WA,98233.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,40.0,269855729,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951600.0
7YAKRDDC4S,King,Seattle,WA,98109.0,2025,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,43.0,281220250,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007303.0
5YJ3E1EA3P,Snohomish,Everett,WA,98208.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,267413842,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041701.0
KNDCS3LF1P,Island,Camano Island,WA,98282.0,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,10.0,236619169,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53029971400.0
WMZYU7C50K,Snohomish,Bothell,WA,98021.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12.0,1.0,178735637,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051914.0
WBY43FK08R,King,Newcastle,WA,98056.0,2024,BMW,I5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,266725973,POINT (-122.2044 47.52136),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025001.0
YV4BC0PL7G,Yakima,Yakima,WA,98908.0,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13.0,14.0,260148591,POINT (-120.60199 46.59817),PACIFICORP,53077000401.0
7SAYGDEE8P,Clark,La Center,WA,98629.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,227148589,POINT (-122.67248 45.86156),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040201.0
1G1FZ6S05N,Snohomish,Mountlake Terrace,WA,98043.0,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,211180903,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051100.0
WA124BGF4S,King,Bellevue,WA,98008.0,2025,AUDI,Q6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,279072335,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403.0
JTMABABA2S,King,Seattle,WA,98136.0,2025,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,286884825,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011601.0
7SAYGDEE1P,King,Sammamish,WA,98074.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,244432506,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.0
3GNKDHRK7R,Yakima,Yakima,WA,98902.0,2024,CHEVROLET,BLAZER,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,14.0,267255026,POINT (-120.51904 46.59783),PACIFICORP,53077000500.0
WVGGNPE21N,King,Bellevue,WA,98006.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,286313107,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901.0
7SAYGAEEXR,Thurston,Olympia,WA,98502.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,35.0,273699996,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902.0
1G1FY6S07L,Whatcom,Bellingham,WA,98226.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,42.0,262818762,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000101.0
5XYC3DJC6S,Snohomish,Everett,WA,98208.0,2025,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,286371683,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061052114.0
7SAYGDEF3R,Grant,Moses Lake,WA,98837.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,13.0,263280286,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011200.0
JTMABABA7P,King,Shoreline,WA,98133.0,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,227520443,POINT (-122.34477 47.75744),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700.0
KMUKCDSC1R,King,Seattle,WA,98106.0,2024,GENESIS,GV60,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,34.0,283135576,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900.0
3FMTK3SU9R,King,Seatac,WA,98188.0,2024,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,33.0,276615370,POINT (-122.27979 47.44952),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028403.0
JM3KKEHA0S,King,Auburn,WA,98092.0,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,47.0,276407106,POINT (-122.18497 47.28825),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031208.0
WA1E2AFY2N,King,Seattle,WA,98107.0,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,36.0,284603091,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003201.0
5YJ3E1EB1K,Spokane,Spokane,WA,99203.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,6.0,107529859,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004200.0
7SAYGDEE8P,King,Seattle,WA,98109.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,43.0,275234683,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007303.0
5YJ3E1EA9N,King,Bellevue,WA,98006.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,218866882,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704.0
KNDPZDAHXP,King,Kent,WA,98030.0,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34.0,33.0,252323046,POINT (-122.224 47.37943),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029702.0
1FMCU0E11P,Snohomish,Everett,WA,98204.0,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37.0,21.0,254919080,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041809.0
1V2CRPE81S,King,Kent,WA,98032.0,2025,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,33.0,283352002,POINT (-122.23741 47.3807),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029206.0
7SAYGDEE6T,Chelan,Wenatchee,WA,98801.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,12.0,281405400,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961304.0
JM3KKEHA8S,King,Seattle,WA,98106.0,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,34.0,280315626,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701.0
ZASPATDW1R,King,Woodinville,WA,98072.0,2024,ALFA ROMEO,TONALE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33.0,45.0,253181337,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311.0
2C4RC1S74P,Clallam,Neah Bay,WA,98357.0,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,24.0,244340554,POINT (-124.62755 48.36786),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009940000.0
WVWKR7AU8K,Pierce,Tacoma,WA,98418.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,27.0,185744128,POINT (-122.44629 47.22283),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062400.0
5YJ3E1EB3J,Snohomish,Arlington,WA,98223.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,39.0,261384567,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053509.0
KM8KMDDF5R,Clark,Camas,WA,98607.0,2024,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,272939971,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040610.0
1G1FZ6S01L,King,Redmond,WA,98052.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,48.0,258256589,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022802.0
JTMAAAAA6R,King,Seattle,WA,98118.0,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,262894075,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102.0
7SAYGDEF2N,Whatcom,Bellingham,WA,98226.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,42.0,213449792,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000202.0
5YJYGDEE8M,King,Seattle,WA,98115.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,185075005,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600.0
1G1FZ6S05L,King,Seattle,WA,98103.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,43.0,133616612,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005100.0
5YJ3E1EA9M,Chelan,Wenatchee,WA,98801.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,12.0,156505289,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007960801.0
5YJ3E1EA1J,King,Mercer Island,WA,98040.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,41.0,338506724,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500.0
JTMFB3FV0M,Kittitas,Cle Elum,WA,98922.0,2021,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,13.0,182906552,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975101.0
KNDRMDLH5P,King,Mercer Island,WA,98040.0,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,41.0,250970198,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500.0
YV1H60EP5R,King,Sammamish,WA,98075.0,2024,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41.0,41.0,253234656,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032211.0
3FMTK3SUXM,King,Seattle,WA,98122.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,260668439,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008800.0
7SAYGDEE1R,King,Issaquah,WA,98029.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,5.0,266629359,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220.0
1G1FX6S09K,Thurston,Rochester,WA,98579.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,35.0,255556668,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012610.0
5YJSA1E58P,King,Kirkland,WA,98033.0,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,238973724,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701.0
